run_id,input_file,budget,node_fraction,edge_fraction,population_size,tournament_size,p_crossover,p_mutation,payoff_function,best_fitness,runtime_seconds
tune_7,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,1.09
tune_8,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,1.08
tune_9,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,1.10
tune_10,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.01,components,1.0,1.10
tune_1,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,3.03
tune_2,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,3.06
tune_3,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,3.02
tune_4,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,3.00
tune_5,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,3.07
tune_6,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,3.01
tune_7,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,2.97
tune_8,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,2.98
tune_9,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,2.99
tune_10,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,2.98
tune_1,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,9.0,1.28
tune_2,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,9.0,1.26
tune_3,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,8.0,1.27
tune_4,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,9.0,1.27
