run_id,input_file,budget,node_fraction,edge_fraction,population_size,tournament_size,p_crossover,p_mutation,payoff_function,best_fitness,runtime_seconds
tune_8,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,25604682.0,722.79
tune_9,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,19122373.0,724.79
tune_10,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,24336861.0,722.24
tune_1,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,components,4856.0,728.34
tune_2,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,components,4379.0,720.28
tune_3,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,components,4754.0,734.63
tune_4,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,components,5113.0,738.50
tune_5,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,components,4288.0,724.81
tune_6,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,components,3090.0,727.99
tune_7,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,components,4885.0,735.65
tune_8,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,components,4409.0,741.84
tune_9,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,components,4512.0,716.81
tune_10,Testing/network-cor-forma_eu_27t.txt,0.05,0.05,0.03,50,3,0.8,0.01,components,2171.0,724.60
tune_1,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,largest,6252.0,710.01
tune_2,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,largest,3178.0,701.13
tune_3,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,largest,5535.0,726.79
tune_4,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,largest,6713.0,731.83
tune_5,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,largest,4805.0,717.83
tune_6,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,largest,6824.0,721.76
tune_7,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,largest,8119.0,732.30
tune_8,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,largest,6552.0,723.40
tune_9,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,largest,12603.0,729.66
tune_10,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,largest,5877.0,725.83
tune_1,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,pairwise,14371487.0,732.52
tune_2,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,pairwise,19096741.0,744.60
tune_3,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,pairwise,12002037.0,730.12
tune_4,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,pairwise,20306054.0,726.01
tune_5,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,pairwise,19665178.0,726.73
tune_6,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,pairwise,18352845.0,725.93
tune_7,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,pairwise,5373293.0,713.67
tune_8,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,pairwise,8091643.0,713.42
tune_9,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,pairwise,16958005.0,727.18
tune_10,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,pairwise,11657469.0,724.23
tune_1,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,components,5199.0,738.68
tune_2,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,components,4003.0,726.03
tune_3,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,components,4471.0,734.95
tune_4,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,components,5135.0,726.94
tune_5,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,components,4610.0,729.24
tune_6,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,components,4701.0,730.03
tune_7,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,components,4404.0,733.69
tune_8,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,components,4774.0,721.34
tune_9,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,components,4750.0,673.17
tune_10,Testing/network-cor-forma_eu_27t.txt,1.0,0.05,0.03,50,3,0.8,0.01,components,5201.0,665.34
