run_id,input_file,budget,node_fraction,edge_fraction,population_size,tournament_size,p_crossover,p_mutation,payoff_function,mutation_type,max_switch_pct,best_fitness,runtime_seconds,fitness_counter
tune_1,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,10153.0,10.91,8151
tune_7,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,1378.0,2.22,8145
tune_7,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,10153.0,10.24,8152
tune_8,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,1275.0,2.24,8148
tune_3,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,10153.0,10.80,8188
tune_8,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,10153.0,10.55,8103
tune_9,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,10153.0,10.98,8183
tune_4,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,10153.0,11.14,8181
tune_6,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,10153.0,11.25,8192
tune_10,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,10153.0,10.86,8142
tune_5,Tuning/bog_150_p0.1_2.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,10153.0,11.68,8159
tune_3,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,468.0,1.76,8167
tune_1,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,466.0,1.86,8141
tune_2,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,466.0,1.73,8236
tune_4,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,466.0,1.67,8245
tune_5,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,466.0,1.67,8268
tune_6,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,468.0,1.34,8067
tune_7,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,466.0,1.31,8126
tune_9,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,1275.0,2.91,8028
tune_10,Tuning/cor_dolphins-w.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,1378.0,2.80,8158
tune_8,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,466.0,1.50,8183
tune_9,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,466.0,1.36,8143
tune_10,Tuning/hos_35_r1_1.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,466.0,1.54,8134
tune_1,Tuning/mac_grafo20dens30.txt,0.05,0.05,0.03,50,3,0.8,0.01,pairwise,0,50,171.0,1.55,8253
