0 ['47', '0', '5', '24', '22']
503 ['25', '51', '52', '6', '1']
504 ['25', '51', '52', '6', '1']
505 ['25', '51', '52', '6', '1']
506 ['25', '51', '52', '6', '1']
507 ['25', '51', '52', '6', '1']
518 ['25', '51', '52', '6', '53']
519 ['25', '51', '52', '6', '53']
520 ['25', '51', '52', '6', '53']
521 ['25', '51', '52', '6', '53']
522 ['25', '51', '52', '6', '53']
523 ['25', '51', '52', '6', '53']
524 ['25', '51', '52', '6', '53']
525 ['25', '51', '52', '6', '53']
526 ['25', '51', '52', '6', '53']
527 ['25', '51', '52', '6', '53']
538 ['6', '25', '51', '52', '23']
539 ['6', '25', '51', '52', '23']
540 ['6', '25', '51', '52', '23']
541 ['6', '25', '51', '52', '23']
542 ['6', '25', '51', '52', '23']
543 ['6', '25', '51', '52', '23']
544 ['6', '25', '51', '52', '23']
545 ['6', '25', '51', '52', '23']
546 ['6', '25', '51', '52', '23']
547 ['6', '25', '51', '52', '23']
558 ['25', '51', '52', '6', '1']
559 ['25', '51', '52', '6', '1']
560 ['25', '51', '52', '6', '1']
561 ['25', '51', '52', '6', '1']
562 ['25', '51', '52', '6', '1']
563 ['25', '51', '52', '6', '1']
564 ['25', '51', '52', '6', '1']
565 ['25', '51', '52', '6', '1']
566 ['25', '51', '52', '6', '1']
567 ['25', '51', '52', '6', '1']
578 ['51', '52', '25', '6', '1']
579 ['51', '52', '25', '6', '1']
580 ['51', '52', '25', '6', '1']
581 ['51', '52', '25', '6', '1']
582 ['51', '52', '25', '6', '1']
583 ['51', '52', '25', '6', '1']
584 ['51', '52', '25', '6', '1']
585 ['51', '52', '25', '6', '1']
586 ['51', '52', '25', '6', '1']
587 ['51', '52', '25', '6', '1']
598 ['51', '52', '25', '6', '45']
599 ['51', '52', '25', '6', '45']
600 ['51', '52', '25', '6', '45']
601 ['51', '52', '25', '6', '45']
602 ['51', '52', '25', '6', '45']
603 ['51', '52', '25', '6', '45']
604 ['51', '52', '25', '6', '45']
