0 ['6', '34', '46', '49', '57', '5', '36', '42']
350 ['51', '25', '1', '59', '52', '6', '9', '52']
351 ['51', '25', '1', '59', '52', '6', '9', '52']
352 ['51', '25', '1', '59', '52', '6', '9', '52']
353 ['51', '25', '1', '59', '52', '6', '9', '52']
354 ['51', '25', '1', '59', '52', '6', '9', '52']
365 ['51', '25', '1', '59', '6', '52', '45', '5']
366 ['51', '25', '1', '59', '6', '52', '45', '5']
367 ['51', '25', '1', '59', '6', '52', '45', '5']
368 ['51', '25', '1', '59', '6', '52', '45', '5']
369 ['51', '25', '1', '59', '6', '52', '45', '5']
370 ['51', '25', '1', '59', '6', '52', '45', '5']
371 ['51', '25', '1', '59', '6', '52', '45', '5']
372 ['51', '25', '1', '59', '6', '52', '45', '5']
373 ['51', '25', '1', '59', '6', '52', '45', '5']
374 ['51', '25', '1', '59', '6', '52', '45', '5']
375 ['51', '25', '1', '59', '6', '52', '45', '5']
386 ['51', '25', '1', '59', '6', '52', '5', '43']
387 ['51', '25', '1', '59', '6', '52', '5', '43']
388 ['51', '25', '1', '59', '6', '52', '5', '43']
389 ['51', '25', '1', '59', '6', '52', '5', '43']
390 ['51', '25', '1', '59', '6', '52', '5', '43']
391 ['51', '25', '1', '59', '6', '52', '5', '43']
392 ['51', '25', '1', '59', '6', '52', '5', '43']
393 ['51', '25', '1', '59', '6', '52', '5', '43']
394 ['51', '25', '1', '59', '6', '52', '5', '43']
395 ['51', '25', '1', '59', '6', '52', '5', '43']
406 ['51', '25', '1', '6', '52', '5', '59', '50']
407 ['51', '25', '1', '6', '52', '5', '59', '50']
408 ['51', '25', '1', '6', '52', '5', '59', '50']
409 ['51', '25', '1', '6', '52', '5', '59', '50']
410 ['51', '25', '1', '6', '52', '5', '59', '50']
411 ['51', '25', '1', '6', '52', '5', '59', '50']
412 ['51', '25', '1', '6', '52', '5', '59', '50']
413 ['51', '25', '1', '6', '52', '5', '59', '50']
414 ['51', '25', '1', '6', '52', '5', '59', '50']
415 ['51', '25', '1', '6', '52', '5', '59', '50']
426 ['25', '5', '59', '52', '1', '51', '6', '43']
427 ['25', '5', '59', '52', '1', '51', '6', '43']
428 ['25', '5', '59', '52', '1', '51', '6', '43']
429 ['25', '5', '59', '52', '1', '51', '6', '43']
430 ['25', '5', '59', '52', '1', '51', '6', '43']
431 ['25', '5', '59', '52', '1', '51', '6', '43']
432 ['25', '5', '59', '52', '1', '51', '6', '43']
433 ['25', '5', '59', '52', '1', '51', '6', '43']
434 ['25', '5', '59', '52', '1', '51', '6', '43']
435 ['25', '5', '59', '52', '1', '51', '6', '43']
446 ['25', '5', '1', '51', '6', '52', '59', '39']
447 ['25', '5', '1', '51', '6', '52', '59', '39']
448 ['25', '5', '1', '51', '6', '52', '59', '39']
449 ['25', '5', '1', '51', '6', '52', '59', '39']
450 ['25', '5', '1', '51', '6', '52', '59', '39']
451 ['25', '5', '1', '51', '6', '52', '59', '39']
452 ['25', '5', '1', '51', '6', '52', '59', '39']
453 ['25', '5', '1', '51', '6', '52', '59', '39']
454 ['25', '5', '1', '51', '6', '52', '59', '39']
455 ['25', '5', '1', '51', '6', '52', '59', '39']
466 ['25', '5', '1', '51', '59', '52', '6', '29']
467 ['25', '5', '1', '51', '59', '52', '6', '29']
468 ['25', '5', '1', '51', '59', '52', '6', '29']
469 ['25', '5', '1', '51', '59', '52', '6', '29']
470 ['25', '5', '1', '51', '59', '52', '6', '29']
471 ['25', '5', '1', '51', '59', '52', '6', '29']
472 ['25', '5', '1', '51', '59', '52', '6', '29']
473 ['25', '5', '1', '51', '59', '52', '6', '29']
474 ['5', '1', '51', '52', '6', '25', '59', '54']
475 ['5', '1', '51', '52', '6', '25', '59', '54']
476 ['5', '1', '51', '52', '6', '25', '59', '54']
477 ['5', '1', '51', '52', '6', '25', '59', '54']
478 ['5', '1', '51', '52', '6', '25', '59', '54']
479 ['5', '1', '51', '52', '6', '25', '59', '54']
480 ['5', '1', '51', '52', '6', '25', '59', '54']
481 ['5', '1', '51', '52', '6', '25', '59', '54']
482 ['5', '1', '51', '52', '6', '25', '59', '54']
483 ['5', '1', '51', '52', '6', '25', '59', '54']
484 ['5', '1', '51', '52', '6', '25', '59', '54']
495 ['5', '1', '51', '52', '6', '25', '59', '51']
496 ['5', '1', '51', '52', '6', '25', '59', '51']
497 ['5', '1', '51', '52', '6', '25', '59', '51']
498 ['5', '1', '51', '52', '6', '25', '59', '51']
499 ['5', '1', '51', '52', '6', '25', '59', '51']
500 ['5', '1', '51', '52', '6', '25', '59', '51']
501 ['5', '1', '51', '52', '6', '25', '59', '51']
502 ['5', '1', '51', '52', '6', '25', '59', '51']
503 ['5', '1', '51', '52', '6', '25', '59', '51']
504 ['5', '1', '51', '52', '6', '25', '59', '51']
515 ['5', '6', '25', '59', '51', '1', '52', '54']
516 ['5', '6', '25', '59', '51', '1', '52', '54']
517 ['5', '6', '25', '59', '51', '1', '52', '54']
518 ['5', '6', '25', '59', '51', '1', '52', '54']
519 ['5', '6', '25', '59', '51', '1', '52', '54']
520 ['5', '6', '25', '59', '51', '1', '52', '54']
521 ['5', '6', '25', '59', '51', '1', '52', '54']
522 ['5', '6', '25', '59', '51', '1', '52', '54']
523 ['5', '6', '25', '59', '51', '1', '52', '54']
524 ['5', '6', '25', '59', '51', '1', '52', '54']
535 ['6', '25', '59', '51', '1', '52', '5', '40']
536 ['6', '25', '59', '51', '1', '52', '5', '40']
537 ['6', '25', '59', '51', '1', '52', '5', '40']
538 ['6', '25', '59', '51', '1', '52', '5', '40']
539 ['6', '25', '59', '51', '1', '52', '5', '40']
540 ['6', '25', '59', '51', '1', '52', '5', '40']
541 ['6', '25', '59', '51', '1', '52', '5', '40']
542 ['6', '25', '59', '51', '1', '52', '5', '40']
543 ['6', '25', '59', '51', '1', '52', '5', '40']
544 ['6', '25', '59', '51', '1', '52', '5', '40']
555 ['59', '1', '52', '5', '51', '6', '25', '4']
556 ['59', '1', '52', '5', '51', '6', '25', '4']
557 ['59', '1', '52', '5', '51', '6', '25', '4']
558 ['59', '1', '52', '5', '51', '6', '25', '4']
559 ['59', '1', '52', '5', '51', '6', '25', '4']
560 ['59', '1', '52', '5', '51', '6', '25', '4']
561 ['59', '1', '52', '5', '51', '6', '25', '4']
562 ['59', '1', '52', '5', '51', '6', '25', '4']
563 ['59', '1', '52', '5', '51', '6', '25', '4']
564 ['59', '1', '52', '5', '51', '6', '25', '4']
575 ['59', '52', '51', '25', '6', '1', '5', '5']
576 ['59', '52', '51', '25', '6', '1', '5', '5']
577 ['59', '52', '51', '25', '6', '1', '5', '5']
578 ['59', '52', '51', '25', '6', '1', '5', '5']
579 ['59', '52', '51', '25', '6', '1', '5', '5']
580 ['59', '52', '51', '25', '6', '1', '5', '5']
581 ['59', '52', '51', '25', '6', '1', '5', '5']
582 ['59', '52', '51', '25', '6', '1', '5', '5']
583 ['59', '52', '51', '25', '6', '1', '5', '5']
584 ['59', '52', '51', '25', '6', '1', '5', '5']
595 ['52', '51', '1', '5', '25', '59', '6', '40']
596 ['52', '51', '1', '5', '25', '59', '6', '40']
597 ['52', '51', '1', '5', '25', '59', '6', '40']
598 ['52', '51', '1', '5', '25', '59', '6', '40']
