454 ['25', '59', '52', '5', '51', '6', '1']
455 ['25', '59', '52', '5', '51', '6', '1']
456 ['25', '59', '52', '5', '51', '6', '1']
457 ['25', '59', '52', '5', '51', '6', '1']
458 ['25', '59', '52', '5', '51', '6', '1']
459 ['25', '59', '52', '5', '51', '6', '1']
470 ['25', '59', '52', '51', '5', '6', '54']
471 ['25', '59', '52', '51', '5', '6', '54']
472 ['25', '59', '52', '51', '5', '6', '54']
473 ['25', '59', '52', '51', '5', '6', '54']
474 ['25', '59', '52', '51', '5', '6', '54']
475 ['25', '59', '52', '51', '5', '6', '54']
476 ['25', '59', '52', '51', '5', '6', '54']
477 ['25', '59', '52', '51', '5', '6', '54']
478 ['25', '59', '52', '51', '5', '6', '54']
479 ['25', '59', '52', '51', '5', '6', '54']
490 ['25', '59', '51', '5', '6', '52', '3']
491 ['25', '59', '51', '5', '6', '52', '3']
492 ['25', '59', '51', '5', '6', '52', '3']
493 ['25', '59', '51', '5', '6', '52', '3']
494 ['25', '59', '51', '5', '6', '52', '3']
495 ['25', '59', '51', '5', '6', '52', '3']
496 ['25', '59', '51', '5', '6', '52', '3']
497 ['25', '59', '51', '5', '6', '52', '3']
498 ['25', '59', '51', '5', '6', '52', '3']
499 ['25', '59', '51', '5', '6', '52', '3']
510 ['59', '5', '52', '6', '51', '25', '10']
511 ['59', '5', '52', '6', '51', '25', '10']
512 ['59', '5', '52', '6', '51', '25', '10']
513 ['59', '5', '52', '6', '51', '25', '10']
514 ['59', '5', '52', '6', '51', '25', '10']
515 ['59', '5', '52', '6', '51', '25', '10']
516 ['59', '5', '52', '6', '51', '25', '10']
517 ['59', '5', '52', '6', '51', '25', '10']
518 ['59', '5', '52', '6', '51', '25', '10']
519 ['59', '5', '52', '6', '51', '25', '10']
530 ['59', '5', '52', '6', '51', '25', '20']
531 ['59', '5', '52', '6', '51', '25', '20']
532 ['59', '5', '52', '6', '51', '25', '20']
533 ['59', '5', '52', '6', '51', '25', '20']
534 ['59', '5', '52', '6', '51', '25', '20']
535 ['59', '5', '52', '6', '51', '25', '20']
536 ['59', '5', '52', '6', '51', '25', '20']
537 ['59', '5', '52', '6', '51', '25', '20']
538 ['59', '5', '52', '6', '51', '25', '20']
539 ['59', '5', '52', '6', '51', '25', '20']
550 ['5', '52', '6', '51', '25', '59', '6']
551 ['5', '52', '6', '51', '25', '59', '6']
552 ['5', '52', '6', '51', '25', '59', '6']
