945 ['51', '52', '6', '21']
946 ['51', '52', '6', '21']
947 ['51', '52', '6', '21']
948 ['51', '52', '6', '21']
949 ['51', '52', '6', '21']
950 ['51', '52', '6', '21']
951 ['51', '52', '6', '21']
952 ['51', '52', '6', '21']
963 ['51', '52', '6', '39']
964 ['51', '52', '6', '39']
965 ['51', '52', '6', '39']
966 ['51', '52', '6', '39']
967 ['51', '52', '6', '39']
968 ['51', '52', '6', '39']
969 ['51', '52', '6', '39']
970 ['51', '52', '6', '39']
971 ['51', '52', '6', '39']
972 ['51', '52', '6', '39']
983 ['6', '51', '52', '25']
984 ['6', '51', '52', '25']
985 ['6', '51', '52', '25']
986 ['6', '51', '52', '25']
987 ['6', '51', '52', '25']
988 ['6', '51', '52', '25']
989 ['6', '51', '52', '25']
990 ['6', '51', '52', '25']
991 ['6', '51', '52', '25']
992 ['6', '51', '52', '25']
1003 ['51', '52', '6', '61']
1004 ['51', '52', '6', '61']
1005 ['51', '52', '6', '61']
1006 ['51', '52', '6', '61']
1007 ['51', '52', '6', '61']
1008 ['51', '52', '6', '61']
1009 ['51', '52', '6', '61']
1010 ['51', '52', '6', '61']
1011 ['51', '52', '6', '61']
1012 ['51', '52', '6', '61']
1023 ['52', '6', '51', '23']
1024 ['52', '6', '51', '23']
1025 ['52', '6', '51', '23']
1026 ['52', '6', '51', '23']
1027 ['52', '6', '51', '23']
1028 ['52', '6', '51', '23']
1029 ['52', '6', '51', '23']
1030 ['52', '6', '51', '23']
1031 ['52', '6', '51', '23']
1032 ['52', '6', '51', '23']
1043 ['52', '6', '51', '7']
1044 ['52', '6', '51', '7']
1045 ['52', '6', '51', '7']
1046 ['52', '6', '51', '7']
1047 ['52', '6', '51', '7']
1048 ['52', '6', '51', '7']
1049 ['52', '6', '51', '7']
1050 ['52', '6', '51', '7']
1051 ['52', '6', '51', '7']
1052 ['52', '6', '51', '7']
1063 ['6', '52', '51', '18']
1064 ['6', '52', '51', '18']
1065 ['6', '52', '51', '18']
1066 ['6', '52', '51', '18']
1067 ['6', '52', '51', '18']
1068 ['6', '52', '51', '18']
1069 ['6', '52', '51', '18']
1070 ['6', '52', '51', '18']
1071 ['6', '52', '51', '18']
1072 ['6', '52', '51', '18']
1083 ['6', '52', '51', '55']
1084 ['6', '52', '51', '55']
1085 ['6', '52', '51', '55']
1086 ['6', '52', '51', '55']
1087 ['52', '51', '6', '25']
1088 ['52', '51', '6', '25']
1089 ['52', '51', '6', '25']
1090 ['52', '51', '6', '25']
1091 ['52', '51', '6', '25']
1092 ['52', '51', '6', '25']
1093 ['52', '51', '6', '25']
1094 ['52', '51', '6', '25']
1095 ['52', '51', '6', '25']
1096 ['52', '51', '6', '25']
1097 ['52', '51', '6', '25']
1108 ['51', '25', '52', '16']
1109 ['51', '25', '52', '16']
1110 ['51', '25', '52', '16']
1111 ['51', '25', '52', '16']
1112 ['51', '25', '52', '16']
1113 ['51', '25', '52', '16']
1114 ['51', '25', '52', '16']
1115 ['51', '25', '52', '16']
1116 ['51', '25', '52', '16']
1117 ['51', '25', '52', '16']
1128 ['51', '25', '52', '6']
1129 ['51', '25', '52', '6']
1130 ['51', '25', '52', '6']
1131 ['51', '25', '52', '6']
1132 ['51', '25', '52', '6']
1133 ['51', '25', '52', '6']
1134 ['51', '25', '52', '6']
1135 ['51', '25', '52', '6']
1136 ['51', '25', '52', '6']
1137 ['51', '25', '52', '6']
1148 ['51', '52', '6', '51']
1149 ['51', '52', '6', '51']
1150 ['51', '52', '6', '51']
1151 ['51', '52', '6', '51']
1152 ['51', '52', '6', '51']
1153 ['51', '52', '6', '51']
1154 ['51', '52', '6', '51']
1155 ['51', '52', '6', '51']
1156 ['51', '52', '6', '51']
1157 ['51', '52', '6', '51']
1168 ['52', '6', '51', '37']
1169 ['52', '6', '51', '37']
1170 ['52', '6', '51', '37']
1171 ['52', '6', '51', '37']
1172 ['52', '6', '51', '37']
1173 ['52', '6', '51', '37']
1174 ['52', '6', '51', '37']
1175 ['52', '6', '51', '37']
1176 ['52', '6', '51', '37']
1177 ['52', '6', '51', '37']
1188 ['52', '51', '6', '12']
1189 ['52', '51', '6', '12']
1190 ['52', '51', '6', '12']
1191 ['52', '51', '6', '12']
1192 ['52', '51', '6', '12']
1193 ['52', '51', '6', '12']
1194 ['52', '51', '6', '12']
1195 ['52', '51', '6', '12']
1196 ['52', '51', '6', '12']
1197 ['52', '51', '6', '12']
1208 ['51', '6', '52', '29']
1209 ['51', '6', '52', '29']
1210 ['51', '6', '52', '29']
1211 ['51', '6', '52', '29']
1212 ['51', '6', '52', '29']
1213 ['51', '6', '52', '29']
1214 ['51', '6', '52', '29']
1215 ['51', '6', '52', '29']
1216 ['51', '6', '52', '29']
1217 ['51', '6', '52', '29']
1228 ['51', '6', '52', '25']
1229 ['51', '6', '52', '25']
1230 ['51', '6', '52', '25']
1231 ['51', '6', '52', '25']
1232 ['51', '6', '52', '25']
1233 ['51', '6', '52', '25']
1234 ['51', '6', '52', '25']
1235 ['51', '6', '52', '25']
1236 ['51', '6', '52', '25']
1237 ['51', '6', '52', '25']
1248 ['51', '52', '25', '11']
1249 ['51', '52', '25', '11']
1250 ['51', '52', '25', '11']
1251 ['51', '52', '25', '11']
1252 ['51', '52', '25', '11']
