0 ['8', '18', '22']
444 ['30', '46', '21']
445 ['30', '46', '21']
446 ['30', '46', '21']
447 ['30', '46', '21']
448 ['30', '46', '21']
449 ['30', '46', '21']
460 ['42', '6', '22']
461 ['42', '6', '22']
462 ['42', '6', '22']
463 ['42', '6', '22']
464 ['42', '6', '22']
465 ['42', '6', '22']
466 ['42', '6', '22']
467 ['42', '6', '22']
468 ['42', '6', '22']
469 ['42', '6', '22']
480 ['22', '33', '34']
481 ['22', '33', '34']
482 ['22', '33', '34']
483 ['22', '33', '34']
484 ['22', '33', '34']
485 ['22', '33', '34']
486 ['22', '33', '34']
487 ['22', '33', '34']
488 ['22', '33', '34']
489 ['22', '33', '34']
500 ['21', '58', '12']
501 ['21', '58', '12']
502 ['21', '58', '12']
503 ['21', '58', '12']
504 ['21', '58', '12']
505 ['21', '58', '12']
506 ['21', '58', '12']
507 ['21', '58', '12']
508 ['21', '58', '12']
509 ['21', '58', '12']
520 ['61', '60', '60']
521 ['61', '60', '60']
522 ['61', '60', '60']
523 ['61', '60', '60']
524 ['61', '60', '60']
525 ['61', '60', '60']
526 ['61', '60', '60']
527 ['61', '60', '60']
528 ['61', '60', '60']
529 ['61', '60', '60']
540 ['8', '33', '1']
541 ['8', '33', '1']
542 ['8', '33', '1']
543 ['8', '33', '1']
544 ['8', '33', '1']
545 ['8', '33', '1']
546 ['8', '33', '1']
547 ['8', '33', '1']
548 ['8', '33', '1']
549 ['8', '33', '1']
560 ['56', '7', '16']
561 ['56', '7', '16']
562 ['56', '7', '16']
563 ['56', '7', '16']
564 ['56', '7', '16']
565 ['56', '7', '16']
566 ['56', '7', '16']
567 ['56', '7', '16']
568 ['56', '7', '16']
569 ['56', '7', '16']
580 ['43', '40', '35']
581 ['43', '40', '35']
582 ['43', '40', '35']
583 ['43', '40', '35']
584 ['43', '40', '35']
585 ['43', '40', '35']
586 ['43', '40', '35']
587 ['43', '40', '35']
588 ['43', '40', '35']
589 ['43', '40', '35']
600 ['26', '44', '55']
601 ['26', '44', '55']
602 ['26', '44', '55']
603 ['26', '44', '55']
604 ['26', '44', '55']
605 ['26', '44', '55']
606 ['26', '44', '55']
607 ['26', '44', '55']
608 ['26', '44', '55']
609 ['26', '44', '55']
620 ['21', '33', '20']
621 ['21', '33', '20']
622 ['21', '33', '20']
623 ['21', '33', '20']
624 ['21', '33', '20']
625 ['21', '33', '20']
626 ['21', '33', '20']
627 ['21', '33', '20']
628 ['21', '33', '20']
629 ['21', '33', '20']
640 ['18', '16', '36']
641 ['18', '16', '36']
642 ['18', '16', '36']
643 ['18', '16', '36']
644 ['18', '16', '36']
645 ['18', '16', '36']
646 ['18', '16', '36']
647 ['18', '16', '36']
648 ['18', '16', '36']
649 ['18', '16', '36']
660 ['21', '22', '26']
661 ['21', '22', '26']
662 ['21', '22', '26']
663 ['21', '22', '26']
664 ['21', '22', '26']
665 ['21', '22', '26']
666 ['21', '22', '26']
667 ['21', '22', '26']
668 ['21', '22', '26']
669 ['21', '22', '26']
680 ['25', '45', '26']
681 ['25', '45', '26']
682 ['25', '45', '26']
683 ['25', '45', '26']
684 ['25', '45', '26']
685 ['25', '45', '26']
686 ['25', '45', '26']
687 ['25', '45', '26']
688 ['25', '45', '26']
689 ['25', '45', '26']
700 ['47', '54', '29']
701 ['47', '54', '29']
702 ['47', '54', '29']
703 ['47', '54', '29']
704 ['47', '54', '29']
705 ['47', '54', '29']
706 ['47', '54', '29']
707 ['47', '54', '29']
708 ['47', '54', '29']
709 ['47', '54', '29']
720 ['45', '13', '26']
721 ['45', '13', '26']
722 ['45', '13', '26']
723 ['45', '13', '26']
724 ['45', '13', '26']
725 ['45', '13', '26']
726 ['45', '13', '26']
727 ['45', '13', '26']
728 ['45', '13', '26']
729 ['45', '13', '26']
740 ['32', '35', '7']
741 ['32', '35', '7']
742 ['32', '35', '7']
743 ['32', '35', '7']
744 ['32', '35', '7']
745 ['32', '35', '7']
746 ['32', '35', '7']
747 ['32', '35', '7']
748 ['32', '35', '7']
749 ['32', '35', '7']
760 ['0', '44', '44']
761 ['0', '44', '44']
762 ['0', '44', '44']
763 ['0', '44', '44']
764 ['0', '44', '44']
765 ['0', '44', '44']
766 ['0', '44', '44']
767 ['0', '44', '44']
768 ['0', '44', '44']
769 ['0', '44', '44']
780 ['12', '14', '20']
781 ['12', '14', '20']
782 ['52', '19', '51']
783 ['52', '19', '51']
784 ['52', '19', '51']
785 ['52', '19', '51']
786 ['52', '51', '6']
787 ['52', '51', '6']
788 ['52', '51', '6']
789 ['52', '51', '6']
790 ['52', '51', '6']
791 ['52', '51', '6']
792 ['52', '51', '6']
793 ['52', '51', '6']
794 ['52', '51', '6']
795 ['52', '51', '6']
796 ['52', '51', '6']
807 ['52', '51', '52']
808 ['52', '51', '52']
809 ['52', '51', '52']
810 ['52', '51', '52']
811 ['52', '51', '52']
812 ['52', '51', '52']
813 ['52', '51', '52']
814 ['52', '51', '52']
815 ['52', '51', '52']
816 ['52', '51', '52']
827 ['51', '52', '12']
828 ['51', '52', '12']
829 ['51', '52', '12']
830 ['51', '52', '12']
831 ['51', '52', '12']
832 ['51', '52', '12']
833 ['51', '52', '12']
834 ['51', '52', '12']
835 ['51', '52', '12']
836 ['51', '52', '12']
847 ['51', '52', '6']
848 ['51', '52', '6']
849 ['51', '52', '6']
850 ['51', '52', '6']
851 ['51', '52', '6']
852 ['51', '52', '6']
853 ['51', '52', '6']
854 ['51', '52', '6']
855 ['51', '52', '6']
856 ['51', '52', '6']
867 ['51', '52', '59']
868 ['51', '52', '59']
869 ['51', '52', '59']
870 ['51', '52', '59']
871 ['51', '52', '59']
872 ['51', '52', '59']
873 ['51', '52', '59']
874 ['51', '52', '59']
875 ['51', '52', '59']
876 ['51', '52', '59']
887 ['51', '52', '18']
888 ['51', '52', '18']
889 ['51', '52', '18']
890 ['51', '52', '18']
891 ['51', '52', '18']
892 ['51', '52', '18']
893 ['51', '52', '18']
894 ['51', '52', '18']
895 ['51', '52', '18']
896 ['51', '52', '18']
907 ['51', '52', '41']
908 ['51', '52', '41']
909 ['51', '52', '41']
910 ['51', '52', '41']
911 ['51', '52', '41']
912 ['51', '52', '41']
913 ['51', '52', '6']
914 ['51', '52', '6']
915 ['51', '52', '6']
916 ['51', '52', '6']
917 ['51', '52', '6']
918 ['51', '52', '6']
919 ['51', '52', '6']
920 ['51', '52', '6']
921 ['51', '52', '6']
922 ['51', '52', '6']
923 ['51', '52', '6']
934 ['51', '52', '38']
935 ['51', '52', '38']
936 ['51', '52', '38']
937 ['51', '52', '38']
938 ['51', '52', '38']
939 ['51', '52', '38']
940 ['51', '52', '38']
941 ['51', '52', '38']
942 ['51', '52', '38']
943 ['51', '52', '38']
954 ['51', '52', '52']
955 ['51', '52', '52']
956 ['51', '52', '52']
957 ['51', '52', '52']
958 ['51', '52', '52']
959 ['51', '52', '52']
960 ['51', '52', '6']
961 ['51', '52', '6']
962 ['51', '52', '6']
963 ['51', '52', '6']
964 ['51', '52', '6']
965 ['51', '52', '6']
966 ['51', '52', '6']
967 ['51', '52', '6']
968 ['51', '52', '6']
969 ['51', '52', '6']
970 ['51', '52', '6']
981 ['51', '52', '6']
982 ['51', '52', '6']
983 ['51', '52', '6']
984 ['51', '52', '6']
985 ['51', '52', '6']
986 ['51', '52', '6']
987 ['51', '52', '6']
988 ['51', '52', '6']
989 ['51', '52', '6']
990 ['51', '52', '6']
991 ['51', '52', '6']
1002 ['52', '51', '6']
1003 ['52', '51', '6']
1004 ['52', '51', '6']
1005 ['52', '51', '6']
1006 ['52', '51', '6']
1007 ['52', '51', '6']
1008 ['52', '51', '6']
1009 ['52', '51', '6']
1010 ['52', '51', '6']
1011 ['52', '51', '6']
1022 ['52', '51', '43']
1023 ['52', '51', '43']
1024 ['52', '51', '43']
1025 ['52', '51', '43']
1026 ['52', '51', '43']
1027 ['52', '51', '43']
1028 ['52', '51', '43']
1029 ['52', '51', '43']
1030 ['52', '51', '43']
1031 ['52', '51', '43']
1042 ['52', '51', '25']
1043 ['52', '51', '25']
1044 ['52', '51', '25']
1045 ['52', '51', '25']
1046 ['52', '51', '25']
1047 ['52', '51', '25']
1048 ['52', '51', '25']
1049 ['52', '51', '25']
1050 ['52', '51', '25']
1051 ['52', '51', '25']
1062 ['51', '52', '9']
1063 ['51', '52', '9']
1064 ['51', '52', '9']
1065 ['51', '52', '9']
1066 ['51', '52', '9']
1067 ['51', '52', '25']
1068 ['51', '52', '25']
1069 ['51', '52', '25']
1070 ['51', '52', '25']
1071 ['51', '52', '25']
1072 ['51', '52', '25']
1073 ['51', '52', '25']
1074 ['51', '52', '25']
1075 ['51', '52', '25']
1076 ['51', '52', '25']
1077 ['51', '52', '25']
1088 ['51', '52', '19']
1089 ['51', '52', '19']
1090 ['51', '52', '19']
1091 ['51', '52', '19']
1092 ['51', '52', '19']
1093 ['51', '52', '19']
1094 ['51', '52', '19']
1095 ['51', '52', '19']
1096 ['51', '52', '19']
1097 ['51', '52', '19']
1108 ['51', '52', '27']
1109 ['51', '52', '27']
1110 ['51', '52', '27']
1111 ['51', '52', '27']
1112 ['51', '52', '27']
1113 ['51', '52', '27']
1114 ['51', '52', '27']
1115 ['51', '52', '27']
1116 ['51', '52', '27']
1117 ['51', '52', '27']
1128 ['51', '52', '40']
1129 ['51', '52', '40']
1130 ['51', '52', '40']
1131 ['51', '52', '40']
1132 ['51', '52', '40']
1133 ['51', '52', '40']
1134 ['51', '52', '40']
1135 ['51', '52', '40']
1136 ['51', '52', '40']
1137 ['51', '52', '40']
1148 ['52', '51', '60']
1149 ['52', '51', '60']
1150 ['52', '51', '60']
1151 ['52', '51', '60']
1152 ['52', '51', '60']
1153 ['52', '51', '60']
1154 ['52', '51', '60']
1155 ['52', '51', '60']
1156 ['52', '51', '60']
1157 ['52', '51', '60']
1168 ['51', '52', '26']
1169 ['51', '52', '26']
1170 ['51', '52', '26']
1171 ['51', '52', '26']
1172 ['51', '52', '26']
1173 ['51', '52', '26']
1174 ['51', '52', '26']
1175 ['51', '52', '26']
1176 ['51', '52', '26']
1177 ['51', '52', '26']
1188 ['51', '52', '28']
1189 ['51', '52', '28']
1190 ['51', '52', '28']
1191 ['51', '52', '28']
1192 ['51', '52', '28']
1193 ['51', '52', '28']
1194 ['51', '52', '28']
1195 ['51', '52', '28']
1196 ['51', '52', '28']
1197 ['51', '52', '28']
1208 ['51', '52', '50']
1209 ['51', '52', '50']
1210 ['51', '52', '50']
1211 ['51', '52', '50']
1212 ['51', '52', '50']
1213 ['51', '52', '50']
1214 ['51', '52', '50']
1215 ['51', '52', '6']
1216 ['51', '52', '6']
1217 ['51', '52', '6']
1218 ['51', '52', '6']
1219 ['51', '52', '6']
1220 ['51', '52', '6']
1221 ['51', '52', '6']
1222 ['51', '52', '6']
1223 ['51', '52', '6']
1224 ['51', '52', '6']
1225 ['51', '52', '6']
1236 ['51', '52', '50']
1237 ['51', '52', '50']
1238 ['51', '52', '50']
1239 ['51', '52', '50']
1240 ['51', '52', '6']
1241 ['51', '52', '6']
1242 ['51', '52', '6']
1243 ['51', '52', '6']
1244 ['51', '52', '6']
1245 ['51', '52', '6']
1246 ['51', '52', '6']
1247 ['51', '52', '6']
1248 ['51', '52', '6']
1249 ['51', '52', '6']
1250 ['51', '52', '6']
1261 ['51', '52', '3']
1262 ['51', '52', '3']
1263 ['51', '52', '3']
1264 ['51', '52', '3']
1265 ['51', '52', '3']
1266 ['51', '52', '3']
1267 ['51', '52', '3']
1268 ['51', '52', '3']
1269 ['51', '52', '3']
1270 ['51', '52', '3']
1281 ['51', '52', '16']
1282 ['51', '52', '16']
1283 ['51', '52', '16']
1284 ['51', '52', '16']
1285 ['51', '52', '16']
1286 ['51', '52', '16']
1287 ['52', '51', '25']
1288 ['52', '51', '25']
1289 ['52', '51', '25']
1290 ['52', '51', '25']
1291 ['52', '51', '25']
1292 ['52', '51', '25']
1293 ['52', '51', '25']
1294 ['52', '51', '25']
1295 ['52', '51', '25']
1296 ['52', '51', '25']
1297 ['52', '51', '25']
1308 ['52', '51', '16']
1309 ['52', '51', '16']
1310 ['52', '51', '16']
1311 ['52', '51', '16']
1312 ['52', '51', '16']
1313 ['52', '51', '16']
1314 ['52', '51', '16']
1315 ['52', '51', '16']
1316 ['52', '51', '16']
1317 ['52', '51', '16']
1328 ['52', '51', '33']
1329 ['52', '51', '33']
1330 ['52', '51', '33']
1331 ['52', '51', '33']
1332 ['52', '51', '33']
1333 ['52', '51', '33']
1334 ['52', '51', '33']
1335 ['52', '51', '33']
1336 ['52', '51', '33']
1337 ['52', '51', '33']
1348 ['52', '51', '33']
1349 ['52', '51', '33']
1350 ['52', '51', '33']
1351 ['52', '51', '33']
1352 ['52', '51', '33']
1353 ['52', '51', '33']
1354 ['52', '51', '33']
1355 ['52', '51', '33']
1356 ['52', '51', '33']
1357 ['52', '51', '33']
1368 ['51', '52', '23']
1369 ['51', '52', '23']
1370 ['51', '52', '23']
1371 ['51', '52', '23']
1372 ['51', '52', '23']
1373 ['51', '52', '23']
1374 ['51', '52', '23']
1375 ['51', '52', '23']
1376 ['51', '52', '23']
1377 ['51', '52', '23']
1388 ['51', '52', '20']
1389 ['51', '52', '20']
1390 ['51', '52', '20']
1391 ['51', '52', '20']
1392 ['51', '52', '6']
1393 ['51', '52', '6']
1394 ['51', '52', '6']
1395 ['51', '52', '6']
1396 ['51', '52', '6']
1397 ['51', '52', '6']
1398 ['51', '52', '6']
1399 ['51', '52', '6']
1400 ['51', '52', '6']
1401 ['51', '52', '6']
1402 ['51', '52', '6']
1413 ['52', '51', '4']
1414 ['52', '51', '4']
1415 ['52', '51', '4']
1416 ['52', '51', '4']
1417 ['52', '51', '4']
1418 ['52', '51', '4']
1419 ['52', '51', '4']
1420 ['52', '51', '4']
1421 ['52', '51', '4']
1422 ['52', '51', '4']
1433 ['50', '0', '13']
1434 ['50', '0', '13']
1435 ['50', '0', '13']
1436 ['50', '0', '13']
1437 ['50', '0', '13']
1438 ['50', '0', '13']
1439 ['50', '0', '13']
1440 ['50', '0', '13']
1441 ['50', '0', '13']
1442 ['50', '0', '13']
1453 ['54', '10', '26']
1454 ['54', '10', '26']
1455 ['54', '10', '26']
1456 ['54', '10', '26']
1457 ['54', '10', '26']
1458 ['54', '10', '26']
1459 ['54', '10', '26']
1460 ['54', '10', '26']
1461 ['54', '10', '26']
1462 ['54', '10', '26']
1473 ['44', '53', '20']
1474 ['44', '53', '20']
1475 ['44', '53', '20']
1476 ['44', '53', '20']
1477 ['44', '53', '20']
1478 ['44', '53', '20']
1479 ['44', '53', '20']
1480 ['44', '53', '20']
1481 ['44', '53', '20']
1482 ['44', '53', '20']
1493 ['59', '45', '32']
1494 ['59', '45', '32']
1495 ['59', '45', '32']
1496 ['59', '45', '32']
1497 ['59', '45', '32']
1498 ['59', '45', '32']
1499 ['59', '45', '32']
1500 ['59', '45', '32']
1501 ['59', '45', '32']
1502 ['59', '45', '32']
1513 ['46', '34', '10']
1514 ['46', '34', '10']
1515 ['46', '34', '10']
1516 ['46', '34', '10']
1517 ['46', '34', '10']
1518 ['46', '34', '10']
1519 ['46', '34', '10']
1520 ['46', '34', '10']
1521 ['46', '34', '10']
1522 ['46', '34', '10']
1533 ['52', '49', '7']
1534 ['52', '49', '7']
1535 ['52', '49', '7']
1536 ['52', '49', '7']
1537 ['52', '49', '7']
1538 ['52', '49', '7']
1539 ['52', '49', '7']
1540 ['52', '49', '7']
1541 ['52', '49', '7']
1542 ['52', '49', '7']
1553 ['19', '48', '16']
1554 ['19', '48', '16']
1555 ['19', '48', '16']
1556 ['19', '48', '16']
1557 ['19', '48', '16']
1558 ['19', '48', '16']
1559 ['19', '48', '16']
1560 ['19', '48', '16']
1561 ['19', '48', '16']
1562 ['19', '48', '16']
1573 ['26', '40', '51']
1574 ['26', '40', '51']
1575 ['26', '40', '51']
1576 ['26', '40', '51']
1577 ['26', '40', '51']
1578 ['26', '40', '51']
1579 ['26', '40', '51']
1580 ['26', '40', '51']
1581 ['26', '40', '51']
1582 ['26', '40', '51']
1593 ['46', '53', '15']
1594 ['46', '53', '15']
1595 ['46', '53', '15']
1596 ['46', '53', '15']
1597 ['46', '53', '15']
1598 ['46', '53', '15']
1599 ['46', '53', '15']
1600 ['46', '53', '15']
1601 ['46', '53', '15']
1602 ['46', '53', '15']
1613 ['25', '57', '22']
1614 ['25', '57', '22']
1615 ['25', '57', '22']
1616 ['25', '57', '22']
1617 ['25', '57', '22']
1618 ['25', '57', '22']
1619 ['25', '57', '22']
1620 ['25', '57', '22']
1621 ['25', '57', '22']
1622 ['25', '57', '22']
1633 ['38', '11', '5']
1634 ['38', '11', '5']
1635 ['38', '11', '5']
1636 ['38', '11', '5']
1637 ['38', '11', '5']
1638 ['38', '11', '5']
1639 ['38', '11', '5']
1640 ['38', '11', '5']
1641 ['38', '11', '5']
1642 ['38', '11', '5']
1653 ['8', '20', '53']
1654 ['8', '20', '53']
1655 ['8', '20', '53']
1656 ['8', '20', '53']
1657 ['8', '20', '53']
1658 ['8', '20', '53']
1659 ['8', '20', '53']
1660 ['8', '20', '53']
1661 ['8', '20', '53']
1662 ['8', '20', '53']
1673 ['45', '56', '32']
1674 ['45', '56', '32']
1675 ['45', '56', '32']
1676 ['45', '56', '32']
1677 ['45', '56', '32']
1678 ['45', '56', '32']
1679 ['45', '56', '32']
1680 ['45', '56', '32']
1681 ['45', '56', '32']
1682 ['45', '56', '32']
1693 ['38', '25', '40']
1694 ['38', '25', '40']
1695 ['38', '25', '40']
1696 ['38', '25', '40']
1697 ['38', '25', '40']
1698 ['38', '25', '40']
1699 ['38', '25', '40']
1700 ['38', '25', '40']
1701 ['38', '25', '40']
1702 ['38', '25', '40']
1713 ['8', '43', '47']
1714 ['8', '43', '47']
1715 ['8', '43', '47']
1716 ['8', '43', '47']
1717 ['8', '43', '47']
1718 ['8', '43', '47']
1719 ['8', '43', '47']
1720 ['8', '43', '47']
1721 ['8', '43', '47']
1722 ['8', '43', '47']
1733 ['24', '34', '48']
1734 ['24', '34', '48']
1735 ['24', '34', '48']
1736 ['24', '34', '48']
1737 ['24', '34', '48']
1738 ['24', '34', '48']
1739 ['24', '34', '48']
1740 ['24', '34', '48']
1741 ['24', '34', '48']
1742 ['24', '34', '48']
1753 ['41', '5', '54']
1754 ['41', '5', '54']
1755 ['41', '5', '54']
1756 ['41', '5', '54']
1757 ['41', '5', '54']
1758 ['41', '5', '54']
1759 ['41', '5', '54']
1760 ['41', '5', '54']
1761 ['41', '5', '54']
1762 ['41', '5', '54']
1773 ['40', '51', '21']
1774 ['40', '51', '21']
1775 ['40', '51', '21']
1776 ['40', '51', '21']
1777 ['40', '51', '21']
1778 ['40', '51', '21']
1779 ['40', '51', '21']
1780 ['40', '51', '21']
1781 ['40', '51', '21']
1782 ['40', '51', '21']
1793 ['51', '14', '5']
1794 ['51', '14', '5']
1795 ['51', '14', '5']
1796 ['51', '14', '5']
1797 ['51', '14', '5']
1798 ['51', '14', '5']
1799 ['51', '14', '5']
1800 ['51', '14', '5']
1801 ['51', '14', '5']
1802 ['51', '14', '5']
1813 ['13', '38', '33']
1814 ['13', '38', '33']
1815 ['13', '38', '33']
1816 ['13', '38', '33']
1817 ['13', '38', '33']
1818 ['13', '38', '33']
1819 ['13', '38', '33']
1820 ['13', '38', '33']
1821 ['13', '38', '33']
1822 ['13', '38', '33']
1833 ['21', '17', '1']
1834 ['21', '17', '1']
1835 ['21', '17', '1']
1836 ['21', '17', '1']
1837 ['21', '17', '1']
1838 ['21', '17', '1']
1839 ['21', '17', '1']
1840 ['21', '17', '1']
1841 ['21', '17', '1']
1842 ['21', '17', '1']
1853 ['33', '58', '26']
1854 ['33', '58', '26']
1855 ['33', '58', '26']
1856 ['33', '58', '26']
1857 ['33', '58', '26']
1858 ['33', '58', '26']
1859 ['33', '58', '26']
1860 ['33', '58', '26']
1861 ['33', '58', '26']
1862 ['33', '58', '26']
1873 ['17', '20', '24']
1874 ['17', '20', '24']
1875 ['17', '20', '24']
1876 ['17', '20', '24']
1877 ['17', '20', '24']
1878 ['17', '20', '24']
1879 ['17', '20', '24']
1880 ['17', '20', '24']
1881 ['17', '20', '24']
1882 ['17', '20', '24']
1893 ['46', '0', '39']
1894 ['46', '0', '39']
1895 ['46', '0', '39']
1896 ['46', '0', '39']
1897 ['46', '0', '39']
1898 ['46', '0', '39']
1899 ['46', '0', '39']
1900 ['46', '0', '39']
1901 ['46', '0', '39']
1902 ['46', '0', '39']
1913 ['30', '8', '1']
1914 ['30', '8', '1']
1915 ['30', '8', '1']
1916 ['30', '8', '1']
1917 ['30', '8', '1']
1918 ['30', '8', '1']
1919 ['30', '8', '1']
1920 ['30', '8', '1']
1921 ['30', '8', '1']
1922 ['30', '8', '1']
1933 ['48', '25', '9']
1934 ['48', '25', '9']
1935 ['48', '25', '9']
1936 ['48', '25', '9']
1937 ['48', '25', '9']
1938 ['48', '25', '9']
1939 ['48', '25', '9']
1940 ['48', '25', '9']
1941 ['48', '25', '9']
1942 ['48', '25', '9']
1953 ['58', '47', '18']
1954 ['58', '47', '18']
1955 ['58', '47', '18']
1956 ['58', '47', '18']
1957 ['58', '47', '18']
1958 ['58', '47', '18']
1959 ['58', '47', '18']
1960 ['58', '47', '18']
1961 ['58', '47', '18']
1962 ['58', '47', '18']
1973 ['59', '33', '28']
1974 ['59', '33', '28']
1975 ['59', '33', '28']
1976 ['59', '33', '28']
1977 ['59', '33', '28']
1978 ['59', '33', '28']
1979 ['59', '33', '28']
1980 ['59', '33', '28']
1981 ['59', '33', '28']
1982 ['59', '33', '28']
1993 ['19', '61', '41']
1994 ['19', '61', '41']
1995 ['19', '61', '41']
1996 ['19', '61', '41']
1997 ['19', '61', '41']
1998 ['19', '61', '41']
1999 ['19', '61', '41']
2000 ['19', '61', '41']
2001 ['19', '61', '41']
2002 ['19', '61', '41']
2013 ['59', '56', '31']
2014 ['59', '56', '31']
