906 ['43', '45', '7']
907 ['43', '45', '7']
908 ['43', '45', '7']
909 ['43', '45', '7']
920 ['7', '30', '33']
921 ['7', '30', '33']
922 ['7', '30', '33']
923 ['7', '30', '33']
924 ['7', '30', '33']
925 ['7', '30', '33']
926 ['7', '30', '33']
927 ['7', '30', '33']
928 ['7', '30', '33']
929 ['7', '30', '33']
940 ['30', '8', '23']
941 ['30', '8', '23']
942 ['30', '8', '23']
943 ['30', '8', '23']
944 ['30', '8', '23']
945 ['30', '8', '23']
946 ['30', '8', '23']
947 ['30', '8', '23']
948 ['30', '8', '23']
949 ['30', '8', '23']
960 ['44', '58', '0']
961 ['44', '58', '0']
962 ['44', '58', '0']
963 ['44', '58', '0']
964 ['44', '58', '0']
965 ['44', '58', '0']
966 ['44', '58', '0']
967 ['44', '58', '0']
968 ['44', '58', '0']
969 ['44', '58', '0']
980 ['15', '9', '24']
981 ['15', '9', '24']
982 ['15', '9', '24']
983 ['15', '9', '24']
984 ['15', '9', '24']
985 ['15', '9', '24']
986 ['15', '9', '24']
987 ['15', '9', '24']
988 ['15', '9', '24']
989 ['15', '9', '24']
1000 ['35', '56', '14']
1001 ['35', '56', '14']
1002 ['35', '56', '14']
1003 ['35', '56', '14']
1004 ['35', '56', '14']
1005 ['35', '56', '14']
1006 ['35', '56', '14']
1007 ['35', '56', '14']
1008 ['35', '56', '14']
1009 ['35', '56', '14']
1020 ['40', '46', '35']
1021 ['40', '46', '35']
1022 ['40', '46', '35']
1023 ['40', '46', '35']
1024 ['40', '46', '35']
1025 ['40', '46', '35']
1026 ['40', '46', '35']
1027 ['40', '46', '35']
1028 ['40', '46', '35']
1029 ['40', '46', '35']
1040 ['34', '12', '41']
1041 ['34', '12', '41']
1042 ['34', '12', '41']
1043 ['34', '12', '41']
1044 ['34', '12', '41']
1045 ['34', '12', '41']
1046 ['34', '12', '41']
1047 ['34', '12', '41']
1048 ['34', '12', '41']
1049 ['34', '12', '41']
1060 ['10', '43', '31']
1061 ['10', '43', '31']
1062 ['10', '43', '31']
1063 ['10', '43', '31']
1064 ['10', '43', '31']
1065 ['10', '43', '31']
1066 ['10', '43', '31']
1067 ['10', '43', '31']
1068 ['10', '43', '31']
1069 ['10', '43', '31']
1080 ['6', '51', '25']
1081 ['6', '51', '25']
1082 ['6', '51', '25']
1083 ['6', '51', '25']
1084 ['6', '51', '25']
1085 ['6', '51', '25']
1086 ['6', '51', '25']
1087 ['6', '51', '25']
1088 ['6', '51', '25']
1089 ['6', '51', '25']
1100 ['51', '15', '7']
1101 ['51', '15', '7']
1102 ['51', '15', '7']
1103 ['51', '15', '7']
1104 ['51', '15', '7']
1105 ['51', '15', '7']
1106 ['51', '15', '7']
1107 ['51', '15', '7']
1108 ['51', '15', '7']
1109 ['51', '15', '7']
1120 ['45', '23', '17']
1121 ['45', '23', '17']
1122 ['45', '23', '17']
1123 ['45', '23', '17']
1124 ['45', '23', '17']
1125 ['45', '23', '17']
1126 ['45', '23', '17']
1127 ['45', '23', '17']
1128 ['45', '23', '17']
1129 ['45', '23', '17']
1140 ['58', '8', '44']
1141 ['58', '8', '44']
1142 ['58', '8', '44']
1143 ['58', '8', '44']
1144 ['58', '8', '44']
1145 ['58', '8', '44']
1146 ['58', '8', '44']
1147 ['58', '8', '44']
1148 ['58', '8', '44']
1149 ['58', '8', '44']
1160 ['9', '61', '2']
1161 ['9', '61', '2']
1162 ['9', '61', '2']
1163 ['9', '61', '2']
1164 ['9', '61', '2']
1165 ['9', '61', '2']
1166 ['9', '61', '2']
1167 ['9', '61', '2']
1168 ['9', '61', '2']
1169 ['9', '61', '2']
1180 ['0', '5', '26']
1181 ['0', '5', '26']
1182 ['0', '5', '26']
1183 ['0', '5', '26']
1184 ['0', '5', '26']
1185 ['0', '5', '26']
1186 ['0', '5', '26']
1187 ['0', '5', '26']
1188 ['0', '5', '26']
1189 ['0', '5', '26']
1200 ['59', '1', '13']
1201 ['59', '1', '13']
1202 ['59', '1', '13']
1203 ['59', '1', '13']
1204 ['59', '1', '13']
1205 ['59', '1', '13']
1206 ['59', '1', '13']
1207 ['59', '1', '13']
1208 ['59', '1', '13']
1209 ['59', '1', '13']
1220 ['16', '33', '31']
1221 ['16', '33', '31']
1222 ['16', '33', '31']
1223 ['16', '33', '31']
1224 ['16', '33', '31']
1225 ['16', '33', '31']
1226 ['16', '33', '31']
1227 ['16', '33', '31']
1228 ['16', '33', '31']
1229 ['16', '33', '31']
1240 ['26', '61', '52']
1241 ['26', '61', '52']
1242 ['26', '61', '52']
1243 ['26', '61', '52']
1244 ['26', '61', '52']
1245 ['26', '61', '52']
1246 ['26', '61', '52']
1247 ['26', '61', '52']
1248 ['26', '61', '52']
1249 ['26', '61', '52']
1260 ['7', '55', '41']
1261 ['7', '55', '41']
1262 ['7', '55', '41']
1263 ['7', '55', '41']
1264 ['7', '55', '41']
1265 ['7', '55', '41']
1266 ['7', '55', '41']
1267 ['7', '55', '41']
1268 ['7', '55', '41']
1269 ['7', '55', '41']
1280 ['26', '17', '47']
1281 ['26', '17', '47']
1282 ['26', '17', '47']
1283 ['26', '17', '47']
1284 ['26', '17', '47']
1285 ['26', '17', '47']
1286 ['26', '17', '47']
1287 ['26', '17', '47']
1288 ['26', '17', '47']
1289 ['26', '17', '47']
1300 ['35', '51', '52']
1301 ['35', '51', '52']
1302 ['35', '51', '52']
1303 ['35', '51', '52']
1304 ['35', '51', '52']
1305 ['35', '51', '52']
1306 ['35', '51', '52']
1307 ['35', '51', '52']
1308 ['35', '51', '52']
1309 ['35', '51', '52']
1320 ['51', '52', '25']
1321 ['51', '52', '25']
1322 ['51', '52', '25']
1323 ['51', '52', '25']
1324 ['51', '52', '25']
1325 ['51', '52', '25']
1326 ['51', '52', '25']
1327 ['51', '52', '25']
1328 ['51', '52', '25']
1329 ['51', '52', '25']
1340 ['26', '40', '42']
1341 ['26', '40', '42']
1342 ['26', '40', '42']
1343 ['26', '40', '42']
1344 ['26', '40', '42']
1345 ['26', '40', '42']
1346 ['26', '40', '42']
1347 ['26', '40', '42']
1348 ['26', '40', '42']
1349 ['26', '40', '42']
1360 ['5', '49', '39']
1361 ['5', '49', '39']
1362 ['5', '49', '39']
1363 ['5', '49', '39']
1364 ['5', '49', '39']
1365 ['5', '49', '39']
1366 ['5', '49', '39']
1367 ['5', '49', '39']
1368 ['5', '49', '39']
1369 ['5', '49', '39']
1380 ['7', '21', '48']
1381 ['7', '21', '48']
1382 ['7', '21', '48']
1383 ['7', '21', '48']
1384 ['7', '21', '48']
1385 ['7', '21', '48']
1386 ['7', '21', '48']
1387 ['7', '21', '48']
1388 ['7', '21', '48']
1389 ['7', '21', '48']
1400 ['15', '33', '41']
1401 ['15', '33', '41']
1402 ['15', '33', '41']
1403 ['15', '33', '41']
1404 ['15', '33', '41']
1405 ['15', '33', '41']
1406 ['15', '33', '41']
1407 ['15', '33', '41']
1408 ['15', '33', '41']
1409 ['15', '33', '41']
1420 ['21', '45', '35']
1421 ['21', '45', '35']
1422 ['21', '45', '35']
1423 ['21', '45', '35']
1424 ['21', '45', '35']
1425 ['21', '45', '35']
1426 ['21', '45', '35']
1427 ['21', '45', '35']
1428 ['21', '45', '35']
1429 ['21', '45', '35']
1440 ['6', '32', '57']
1441 ['6', '32', '57']
1442 ['6', '32', '57']
1443 ['6', '32', '57']
1444 ['6', '32', '57']
1445 ['6', '32', '57']
1446 ['6', '32', '57']
1447 ['6', '32', '57']
1448 ['6', '32', '57']
1449 ['6', '32', '57']
1460 ['41', '13', '34']
1461 ['41', '13', '34']
1462 ['41', '13', '34']
1463 ['41', '13', '34']
1464 ['41', '13', '34']
1465 ['41', '13', '34']
1466 ['41', '13', '34']
1467 ['41', '13', '34']
1468 ['41', '13', '34']
1469 ['41', '13', '34']
1480 ['17', '10', '1']
1481 ['17', '10', '1']
1482 ['17', '10', '1']
1483 ['17', '10', '1']
1484 ['17', '10', '1']
1485 ['17', '10', '1']
1486 ['17', '10', '1']
1487 ['17', '10', '1']
1488 ['17', '10', '1']
1489 ['17', '10', '1']
1500 ['32', '46', '26']
1501 ['32', '46', '26']
1502 ['32', '46', '26']
1503 ['32', '46', '26']
1504 ['32', '46', '26']
1505 ['32', '46', '26']
1506 ['32', '46', '26']
1507 ['32', '46', '26']
1508 ['32', '46', '26']
1509 ['32', '46', '26']
1520 ['2', '10', '24']
1521 ['2', '10', '24']
1522 ['2', '10', '24']
1523 ['2', '10', '24']
1524 ['2', '10', '24']
1525 ['2', '10', '24']
1526 ['2', '10', '24']
1527 ['2', '10', '24']
1528 ['2', '10', '24']
1529 ['2', '10', '24']
1540 ['40', '43', '15']
1541 ['40', '43', '15']
1542 ['40', '43', '15']
1543 ['40', '43', '15']
1544 ['40', '43', '15']
1545 ['40', '43', '15']
1546 ['40', '43', '15']
1547 ['40', '43', '15']
1548 ['40', '43', '15']
1549 ['40', '43', '15']
1560 ['54', '18', '43']
1561 ['54', '18', '43']
1562 ['54', '18', '43']
1563 ['54', '18', '43']
1564 ['54', '18', '43']
1565 ['54', '18', '43']
1566 ['54', '18', '43']
1567 ['54', '18', '43']
1568 ['54', '18', '43']
1569 ['54', '18', '43']
1580 ['5', '39', '29']
1581 ['5', '39', '29']
1582 ['5', '39', '29']
1583 ['5', '39', '29']
1584 ['5', '39', '29']
1585 ['5', '39', '29']
1586 ['5', '39', '29']
1587 ['5', '39', '29']
1588 ['5', '39', '29']
1589 ['5', '39', '29']
1600 ['44', '10', '59']
1601 ['44', '10', '59']
1602 ['44', '10', '59']
1603 ['44', '10', '59']
1604 ['44', '10', '59']
1605 ['44', '10', '59']
1606 ['44', '10', '59']
1607 ['44', '10', '59']
1608 ['44', '10', '59']
1609 ['44', '10', '59']
1620 ['4', '60', '54']
1621 ['4', '60', '54']
1622 ['4', '60', '54']
1623 ['4', '60', '54']
1624 ['4', '60', '54']
1625 ['4', '60', '54']
1626 ['4', '60', '54']
1627 ['4', '60', '54']
1628 ['4', '60', '54']
1629 ['4', '60', '54']
1640 ['10', '28', '23']
1641 ['10', '28', '23']
1642 ['10', '28', '23']
1643 ['10', '28', '23']
1644 ['10', '28', '23']
1645 ['10', '28', '23']
1646 ['10', '28', '23']
1647 ['10', '28', '23']
1648 ['10', '28', '23']
1649 ['10', '28', '23']
1660 ['13', '9', '56']
1661 ['13', '9', '56']
1662 ['13', '9', '56']
1663 ['13', '9', '56']
1664 ['13', '9', '56']
1665 ['13', '9', '56']
1666 ['13', '9', '56']
1667 ['13', '9', '56']
1668 ['13', '9', '56']
1669 ['13', '9', '56']
1680 ['60', '14', '57']
1681 ['60', '14', '57']
1682 ['60', '14', '57']
1683 ['60', '14', '57']
1684 ['60', '14', '57']
1685 ['60', '14', '57']
1686 ['60', '14', '57']
1687 ['60', '14', '57']
1688 ['60', '14', '57']
1689 ['60', '14', '57']
1700 ['9', '4', '47']
1701 ['9', '4', '47']
1702 ['9', '4', '47']
1703 ['9', '4', '47']
1704 ['9', '4', '47']
1705 ['9', '4', '47']
1706 ['9', '4', '47']
1707 ['9', '4', '47']
1708 ['9', '4', '47']
1709 ['9', '4', '47']
1720 ['32', '17', '24']
1721 ['32', '17', '24']
1722 ['32', '17', '24']
1723 ['32', '17', '24']
1724 ['32', '17', '24']
1725 ['32', '17', '24']
1726 ['32', '17', '24']
1727 ['32', '17', '24']
1728 ['32', '17', '24']
1729 ['32', '17', '24']
1740 ['47', '6', '15']
1741 ['47', '6', '15']
1742 ['47', '6', '15']
1743 ['47', '6', '15']
1744 ['47', '6', '15']
1745 ['47', '6', '15']
1746 ['47', '6', '15']
1747 ['47', '6', '15']
1748 ['47', '6', '15']
1749 ['47', '6', '15']
1760 ['23', '31', '24']
