0 ['5', '59', '3', '29']
269 ['54', '5', '46', '14']
280 ['11', '14', '0', '31']
281 ['11', '14', '0', '31']
282 ['11', '14', '0', '31']
283 ['11', '14', '0', '31']
284 ['11', '14', '0', '31']
285 ['11', '14', '0', '31']
286 ['11', '14', '0', '31']
287 ['11', '14', '0', '31']
288 ['11', '14', '0', '31']
289 ['11', '14', '0', '31']
300 ['10', '12', '25', '58']
301 ['10', '12', '25', '58']
302 ['10', '12', '25', '58']
303 ['10', '12', '25', '58']
304 ['10', '12', '25', '58']
305 ['10', '12', '25', '58']
306 ['10', '12', '25', '58']
307 ['10', '12', '25', '58']
308 ['10', '12', '25', '58']
309 ['10', '12', '25', '58']
320 ['18', '41', '21', '7']
321 ['18', '41', '21', '7']
322 ['18', '41', '21', '7']
323 ['18', '41', '21', '7']
324 ['18', '41', '21', '7']
325 ['18', '41', '21', '7']
326 ['18', '41', '21', '7']
327 ['18', '41', '21', '7']
328 ['18', '41', '21', '7']
329 ['18', '41', '21', '7']
340 ['11', '1', '52', '17']
341 ['11', '1', '52', '17']
342 ['11', '1', '52', '17']
343 ['11', '1', '52', '17']
344 ['11', '1', '52', '17']
345 ['11', '1', '52', '17']
346 ['11', '1', '52', '17']
347 ['11', '1', '52', '17']
348 ['11', '1', '52', '17']
349 ['11', '1', '52', '17']
360 ['32', '60', '21', '32']
361 ['32', '60', '21', '32']
362 ['32', '60', '21', '32']
363 ['32', '60', '21', '32']
364 ['32', '60', '21', '32']
365 ['32', '60', '21', '32']
366 ['32', '60', '21', '32']
367 ['32', '60', '21', '32']
368 ['32', '60', '21', '32']
369 ['32', '60', '21', '32']
380 ['35', '5', '14', '46']
381 ['35', '5', '14', '46']
382 ['35', '5', '14', '46']
383 ['35', '5', '14', '46']
384 ['35', '5', '14', '46']
385 ['35', '5', '14', '46']
386 ['35', '5', '14', '46']
387 ['35', '5', '14', '46']
388 ['35', '5', '14', '46']
389 ['35', '5', '14', '46']
400 ['24', '40', '29', '53']
401 ['24', '40', '29', '53']
402 ['24', '40', '29', '53']
403 ['24', '40', '29', '53']
404 ['24', '40', '29', '53']
405 ['24', '40', '29', '53']
406 ['24', '40', '29', '53']
407 ['24', '40', '29', '53']
408 ['24', '40', '29', '53']
409 ['24', '40', '29', '53']
420 ['22', '41', '14', '28']
421 ['22', '41', '14', '28']
422 ['22', '41', '14', '28']
423 ['22', '41', '14', '28']
424 ['22', '41', '14', '28']
425 ['22', '41', '14', '28']
426 ['22', '41', '14', '28']
427 ['22', '41', '14', '28']
428 ['22', '41', '14', '28']
429 ['22', '41', '14', '28']
440 ['32', '36', '26', '19']
441 ['32', '36', '26', '19']
442 ['32', '36', '26', '19']
443 ['32', '36', '26', '19']
444 ['32', '36', '26', '19']
445 ['32', '36', '26', '19']
446 ['32', '36', '26', '19']
447 ['32', '36', '26', '19']
448 ['32', '36', '26', '19']
449 ['32', '36', '26', '19']
460 ['11', '14', '49', '60']
461 ['11', '14', '49', '60']
462 ['11', '14', '49', '60']
463 ['11', '14', '49', '60']
464 ['11', '14', '49', '60']
465 ['11', '14', '49', '60']
466 ['11', '14', '49', '60']
467 ['11', '14', '49', '60']
468 ['11', '14', '49', '60']
469 ['11', '14', '49', '60']
480 ['27', '36', '0', '61']
481 ['27', '36', '0', '61']
482 ['27', '36', '0', '61']
483 ['27', '36', '0', '61']
484 ['27', '36', '0', '61']
485 ['27', '36', '0', '61']
486 ['27', '36', '0', '61']
487 ['27', '36', '0', '61']
488 ['27', '36', '0', '61']
489 ['27', '36', '0', '61']
500 ['57', '2', '55', '56']
501 ['57', '2', '55', '56']
502 ['57', '2', '55', '56']
503 ['57', '2', '55', '56']
504 ['57', '2', '55', '56']
505 ['57', '2', '55', '56']
506 ['57', '2', '55', '56']
507 ['57', '2', '55', '56']
508 ['57', '2', '55', '56']
509 ['57', '2', '55', '56']
520 ['58', '61', '25', '51']
521 ['58', '61', '25', '51']
522 ['58', '61', '25', '51']
523 ['58', '61', '25', '51']
524 ['58', '61', '25', '51']
525 ['58', '61', '25', '51']
526 ['58', '61', '25', '51']
527 ['58', '61', '25', '51']
528 ['58', '61', '25', '51']
529 ['58', '61', '25', '51']
540 ['44', '3', '58', '7']
541 ['44', '3', '58', '7']
542 ['44', '3', '58', '7']
543 ['44', '3', '58', '7']
544 ['44', '3', '58', '7']
545 ['44', '3', '58', '7']
546 ['44', '3', '58', '7']
547 ['44', '3', '58', '7']
548 ['44', '3', '58', '7']
549 ['44', '3', '58', '7']
560 ['9', '50', '19', '55']
561 ['9', '50', '19', '55']
562 ['9', '50', '19', '55']
563 ['9', '50', '19', '55']
564 ['9', '50', '19', '55']
565 ['9', '50', '19', '55']
566 ['9', '50', '19', '55']
567 ['9', '50', '19', '55']
568 ['9', '50', '19', '55']
569 ['9', '50', '19', '55']
580 ['0', '36', '6', '20']
581 ['0', '36', '6', '20']
582 ['0', '36', '6', '20']
583 ['0', '36', '6', '20']
584 ['0', '36', '6', '20']
585 ['0', '36', '6', '20']
586 ['0', '36', '6', '20']
587 ['0', '36', '6', '20']
588 ['0', '36', '6', '20']
589 ['0', '36', '6', '20']
600 ['8', '51', '49', '31']
601 ['8', '51', '49', '31']
602 ['8', '51', '49', '31']
603 ['8', '51', '49', '31']
604 ['8', '51', '49', '31']
605 ['8', '51', '49', '31']
606 ['8', '51', '49', '31']
607 ['8', '51', '49', '31']
608 ['8', '51', '49', '31']
609 ['8', '51', '49', '31']
620 ['16', '19', '46', '56']
621 ['16', '19', '46', '56']
622 ['16', '19', '46', '56']
623 ['16', '19', '46', '56']
624 ['16', '19', '46', '56']
625 ['16', '19', '46', '56']
626 ['16', '19', '46', '56']
627 ['16', '19', '46', '56']
628 ['16', '19', '46', '56']
629 ['16', '19', '46', '56']
640 ['25', '25', '22', '34']
641 ['25', '25', '22', '34']
642 ['25', '25', '22', '34']
643 ['25', '25', '22', '34']
644 ['25', '25', '22', '34']
645 ['25', '25', '22', '34']
646 ['25', '25', '22', '34']
647 ['25', '25', '22', '34']
648 ['25', '25', '22', '34']
649 ['25', '25', '22', '34']
660 ['31', '9', '22', '9']
661 ['31', '9', '22', '9']
662 ['31', '9', '22', '9']
663 ['31', '9', '22', '9']
664 ['31', '9', '22', '9']
665 ['31', '9', '22', '9']
666 ['31', '9', '22', '9']
667 ['31', '9', '22', '9']
668 ['31', '9', '22', '9']
669 ['31', '9', '22', '9']
680 ['18', '5', '21', '44']
681 ['18', '5', '21', '44']
682 ['18', '5', '21', '44']
683 ['18', '5', '21', '44']
684 ['18', '5', '21', '44']
685 ['18', '5', '21', '44']
686 ['18', '5', '21', '44']
687 ['18', '5', '21', '44']
688 ['18', '5', '21', '44']
689 ['18', '5', '21', '44']
700 ['40', '31', '59', '20']
701 ['40', '31', '59', '20']
702 ['40', '31', '59', '20']
703 ['40', '31', '59', '20']
704 ['40', '31', '59', '20']
705 ['40', '31', '59', '20']
706 ['40', '31', '59', '20']
707 ['40', '31', '59', '20']
708 ['40', '31', '59', '20']
709 ['40', '31', '59', '20']
720 ['39', '42', '31', '37']
721 ['39', '42', '31', '37']
722 ['39', '42', '31', '37']
723 ['39', '42', '31', '37']
724 ['39', '42', '31', '37']
725 ['39', '42', '31', '37']
726 ['39', '42', '31', '37']
727 ['39', '42', '31', '37']
728 ['39', '42', '31', '37']
729 ['39', '42', '31', '37']
740 ['57', '34', '55', '46']
741 ['57', '34', '55', '46']
742 ['57', '34', '55', '46']
743 ['57', '34', '55', '46']
744 ['57', '34', '55', '46']
745 ['57', '34', '55', '46']
746 ['57', '34', '55', '46']
747 ['57', '34', '55', '46']
748 ['57', '34', '55', '46']
749 ['57', '34', '55', '46']
760 ['21', '34', '46', '13']
761 ['21', '34', '46', '13']
762 ['21', '34', '46', '13']
763 ['21', '34', '46', '13']
764 ['21', '34', '46', '13']
765 ['21', '34', '46', '13']
766 ['21', '34', '46', '13']
767 ['21', '34', '46', '13']
768 ['21', '34', '46', '13']
769 ['21', '34', '46', '13']
780 ['0', '43', '61', '8']
781 ['0', '43', '61', '8']
782 ['0', '43', '61', '8']
783 ['0', '43', '61', '8']
784 ['0', '43', '61', '8']
785 ['0', '43', '61', '8']
786 ['0', '43', '61', '8']
787 ['0', '43', '61', '8']
788 ['0', '43', '61', '8']
789 ['0', '43', '61', '8']
800 ['19', '52', '54', '58']
801 ['19', '52', '54', '58']
802 ['19', '52', '54', '58']
803 ['19', '52', '54', '58']
804 ['19', '52', '54', '58']
805 ['19', '52', '54', '58']
806 ['19', '52', '54', '58']
807 ['19', '52', '54', '58']
808 ['19', '52', '54', '58']
809 ['19', '52', '54', '58']
820 ['51', '42', '14', '0']
821 ['51', '42', '14', '0']
822 ['51', '42', '14', '0']
823 ['51', '42', '14', '0']
824 ['51', '42', '14', '0']
825 ['51', '42', '14', '0']
826 ['51', '42', '14', '0']
827 ['51', '42', '14', '0']
828 ['51', '42', '14', '0']
829 ['51', '42', '14', '0']
840 ['17', '25', '41', '22']
841 ['17', '25', '41', '22']
842 ['17', '25', '41', '22']
843 ['17', '25', '41', '22']
844 ['17', '25', '41', '22']
845 ['17', '25', '41', '22']
846 ['17', '25', '41', '22']
847 ['17', '25', '41', '22']
848 ['17', '25', '41', '22']
849 ['17', '25', '41', '22']
860 ['6', '51', '14', '61']
861 ['6', '51', '14', '61']
862 ['6', '51', '14', '61']
863 ['6', '51', '14', '61']
864 ['6', '51', '14', '61']
865 ['6', '51', '14', '61']
866 ['6', '51', '14', '61']
867 ['6', '51', '14', '61']
868 ['6', '51', '14', '61']
869 ['6', '51', '14', '61']
880 ['36', '10', '35', '39']
881 ['36', '10', '35', '39']
882 ['36', '10', '35', '39']
883 ['36', '10', '35', '39']
884 ['36', '10', '35', '39']
885 ['36', '10', '35', '39']
886 ['36', '10', '35', '39']
887 ['36', '10', '35', '39']
888 ['36', '10', '35', '39']
889 ['36', '10', '35', '39']
900 ['28', '61', '36', '6']
901 ['28', '61', '36', '6']
902 ['28', '61', '36', '6']
903 ['28', '61', '36', '6']
904 ['28', '61', '36', '6']
905 ['28', '61', '36', '6']
906 ['28', '61', '36', '6']
907 ['28', '61', '36', '6']
908 ['28', '61', '36', '6']
909 ['28', '61', '36', '6']
920 ['48', '60', '19', '26']
921 ['48', '60', '19', '26']
922 ['48', '60', '19', '26']
923 ['48', '60', '19', '26']
924 ['48', '60', '19', '26']
925 ['48', '60', '19', '26']
926 ['48', '60', '19', '26']
927 ['48', '60', '19', '26']
928 ['48', '60', '19', '26']
929 ['48', '60', '19', '26']
940 ['47', '51', '61', '0']
941 ['47', '51', '61', '0']
942 ['47', '51', '61', '0']
943 ['47', '51', '61', '0']
944 ['47', '51', '61', '0']
945 ['47', '51', '61', '0']
946 ['47', '51', '61', '0']
947 ['47', '51', '61', '0']
948 ['47', '51', '61', '0']
949 ['47', '51', '61', '0']
960 ['37', '37', '22', '60']
961 ['37', '37', '22', '60']
962 ['37', '37', '22', '60']
963 ['37', '37', '22', '60']
964 ['37', '37', '22', '60']
965 ['37', '37', '22', '60']
966 ['37', '37', '22', '60']
967 ['37', '37', '22', '60']
968 ['37', '37', '22', '60']
969 ['37', '37', '22', '60']
980 ['34', '16', '14', '21']
981 ['34', '16', '14', '21']
982 ['34', '16', '14', '21']
983 ['34', '16', '14', '21']
984 ['34', '16', '14', '21']
985 ['34', '16', '14', '21']
986 ['34', '16', '14', '21']
987 ['34', '16', '14', '21']
988 ['34', '16', '14', '21']
989 ['34', '16', '14', '21']
1000 ['56', '53', '14', '59']
1001 ['56', '53', '14', '59']
1002 ['56', '53', '14', '59']
1003 ['56', '53', '14', '59']
1004 ['56', '53', '14', '59']
1005 ['56', '53', '14', '59']
1006 ['56', '53', '14', '59']
1007 ['56', '53', '14', '59']
1008 ['56', '53', '14', '59']
1009 ['56', '53', '14', '59']
1020 ['15', '46', '54', '49']
1021 ['15', '46', '54', '49']
1022 ['15', '46', '54', '49']
1023 ['15', '46', '54', '49']
1024 ['15', '46', '54', '49']
1025 ['15', '46', '54', '49']
1026 ['15', '46', '54', '49']
1027 ['15', '46', '54', '49']
1028 ['15', '46', '54', '49']
1029 ['15', '46', '54', '49']
1040 ['53', '21', '20', '59']
1041 ['53', '21', '20', '59']
1042 ['53', '21', '20', '59']
1043 ['53', '21', '20', '59']
1044 ['53', '21', '20', '59']
1045 ['53', '21', '20', '59']
1046 ['53', '21', '20', '59']
1047 ['53', '21', '20', '59']
1048 ['53', '21', '20', '59']
1049 ['53', '21', '20', '59']
1060 ['37', '57', '33', '58']
1061 ['37', '57', '33', '58']
1062 ['37', '57', '33', '58']
1063 ['37', '57', '33', '58']
1064 ['37', '57', '33', '58']
1065 ['37', '57', '33', '58']
1066 ['37', '57', '33', '58']
1067 ['37', '57', '33', '58']
1068 ['37', '57', '33', '58']
1069 ['37', '57', '33', '58']
1080 ['24', '12', '26', '15']
1081 ['24', '12', '26', '15']
1082 ['24', '12', '26', '15']
1083 ['24', '12', '26', '15']
1084 ['24', '12', '26', '15']
1085 ['24', '12', '26', '15']
1086 ['24', '12', '26', '15']
1087 ['24', '12', '26', '15']
1088 ['24', '12', '26', '15']
1089 ['24', '12', '26', '15']
1100 ['58', '34', '48', '8']
1101 ['58', '34', '48', '8']
1102 ['58', '34', '48', '8']
1103 ['58', '34', '48', '8']
1104 ['58', '34', '48', '8']
1105 ['58', '34', '48', '8']
1106 ['58', '34', '48', '8']
1107 ['58', '34', '48', '8']
1108 ['58', '34', '48', '8']
1109 ['58', '34', '48', '8']
1120 ['34', '49', '49', '36']
1121 ['34', '49', '49', '36']
1122 ['34', '49', '49', '36']
1123 ['34', '49', '49', '36']
1124 ['34', '49', '49', '36']
1125 ['34', '49', '49', '36']
1126 ['34', '49', '49', '36']
1127 ['34', '49', '49', '36']
1128 ['34', '49', '49', '36']
1129 ['34', '49', '49', '36']
1140 ['56', '41', '32', '14']
1141 ['56', '41', '32', '14']
1142 ['56', '41', '32', '14']
1143 ['56', '41', '32', '14']
1144 ['56', '41', '32', '14']
1145 ['56', '41', '32', '14']
1146 ['56', '41', '32', '14']
1147 ['56', '41', '32', '14']
1148 ['56', '41', '32', '14']
1149 ['56', '41', '32', '14']
1160 ['21', '2', '32', '24']
1161 ['21', '2', '32', '24']
1162 ['21', '2', '32', '24']
1163 ['21', '2', '32', '24']
1164 ['21', '2', '32', '24']
1165 ['21', '2', '32', '24']
1166 ['21', '2', '32', '24']
1167 ['21', '2', '32', '24']
1168 ['21', '2', '32', '24']
1169 ['21', '2', '32', '24']
1180 ['24', '13', '9', '4']
1181 ['24', '13', '9', '4']
1182 ['24', '13', '9', '4']
1183 ['24', '13', '9', '4']
1184 ['24', '13', '9', '4']
1185 ['24', '13', '9', '4']
1186 ['24', '13', '9', '4']
1187 ['24', '13', '9', '4']
1188 ['24', '13', '9', '4']
1189 ['24', '13', '9', '4']
1200 ['21', '38', '28', '23']
1201 ['21', '38', '28', '23']
1202 ['21', '38', '28', '23']
1203 ['21', '38', '28', '23']
1204 ['21', '38', '28', '23']
1205 ['21', '38', '28', '23']
1206 ['21', '38', '28', '23']
1207 ['21', '38', '28', '23']
1208 ['21', '38', '28', '23']
1209 ['21', '38', '28', '23']
1220 ['44', '53', '28', '54']
1221 ['44', '53', '28', '54']
1222 ['44', '53', '28', '54']
1223 ['44', '53', '28', '54']
1224 ['44', '53', '28', '54']
1225 ['44', '53', '28', '54']
1226 ['44', '53', '28', '54']
1227 ['44', '53', '28', '54']
1228 ['44', '53', '28', '54']
1229 ['44', '53', '28', '54']
1240 ['61', '11', '18', '49']
1241 ['61', '11', '18', '49']
1242 ['61', '11', '18', '49']
1243 ['61', '11', '18', '49']
1244 ['61', '11', '18', '49']
1245 ['61', '11', '18', '49']
1246 ['61', '11', '18', '49']
1247 ['61', '11', '18', '49']
1248 ['61', '11', '18', '49']
1249 ['61', '11', '18', '49']
1260 ['16', '31', '33', '61']
1261 ['16', '31', '33', '61']
1262 ['16', '31', '33', '61']
1263 ['16', '31', '33', '61']
1264 ['16', '31', '33', '61']
1265 ['16', '31', '33', '61']
1266 ['16', '31', '33', '61']
1267 ['16', '31', '33', '61']
1268 ['16', '31', '33', '61']
1269 ['16', '31', '33', '61']
1280 ['23', '50', '14', '13']
1281 ['23', '50', '14', '13']
1282 ['23', '50', '14', '13']
1283 ['23', '50', '14', '13']
1284 ['23', '50', '14', '13']
1285 ['23', '50', '14', '13']
1286 ['23', '50', '14', '13']
1287 ['23', '50', '14', '13']
1288 ['23', '50', '14', '13']
1289 ['23', '50', '14', '13']
1300 ['40', '58', '14', '10']
1301 ['40', '58', '14', '10']
1302 ['40', '58', '14', '10']
1303 ['40', '58', '14', '10']
1304 ['40', '58', '14', '10']
1305 ['40', '58', '14', '10']
1306 ['40', '58', '14', '10']
1307 ['40', '58', '14', '10']
1308 ['40', '58', '14', '10']
1309 ['40', '58', '14', '10']
1320 ['31', '48', '6', '6']
1321 ['31', '48', '6', '6']
1322 ['31', '48', '6', '6']
1323 ['31', '48', '6', '6']
1324 ['31', '48', '6', '6']
1325 ['31', '48', '6', '6']
1326 ['31', '48', '6', '6']
1327 ['31', '48', '6', '6']
1328 ['31', '48', '6', '6']
1329 ['31', '48', '6', '6']
1340 ['59', '29', '28', '61']
1341 ['59', '29', '28', '61']
1342 ['59', '29', '28', '61']
1343 ['59', '29', '28', '61']
1344 ['59', '29', '28', '61']
1345 ['59', '29', '28', '61']
1346 ['59', '29', '28', '61']
1347 ['59', '29', '28', '61']
1348 ['59', '29', '28', '61']
1349 ['59', '29', '28', '61']
1360 ['28', '46', '44', '1']
1361 ['28', '46', '44', '1']
1362 ['28', '46', '44', '1']
1363 ['28', '46', '44', '1']
1364 ['28', '46', '44', '1']
1365 ['28', '46', '44', '1']
1366 ['28', '46', '44', '1']
1367 ['28', '46', '44', '1']
1368 ['28', '46', '44', '1']
1369 ['28', '46', '44', '1']
1380 ['31', '10', '7', '40']
1381 ['31', '10', '7', '40']
1382 ['31', '10', '7', '40']
1383 ['31', '10', '7', '40']
1384 ['31', '10', '7', '40']
1385 ['31', '10', '7', '40']
1386 ['31', '10', '7', '40']
1387 ['31', '10', '7', '40']
1388 ['31', '10', '7', '40']
1389 ['31', '10', '7', '40']
1400 ['44', '49', '36', '15']
1401 ['44', '49', '36', '15']
1402 ['44', '49', '36', '15']
1403 ['44', '49', '36', '15']
1404 ['44', '49', '36', '15']
1405 ['44', '49', '36', '15']
1406 ['44', '49', '36', '15']
1407 ['44', '49', '36', '15']
1408 ['44', '49', '36', '15']
1409 ['44', '49', '36', '15']
1420 ['24', '16', '7', '45']
1421 ['24', '16', '7', '45']
1422 ['24', '16', '7', '45']
1423 ['24', '16', '7', '45']
1424 ['24', '16', '7', '45']
1425 ['24', '16', '7', '45']
1426 ['24', '16', '7', '45']
1427 ['24', '16', '7', '45']
1428 ['24', '16', '7', '45']
1429 ['24', '16', '7', '45']
1440 ['42', '27', '57', '45']
1441 ['42', '27', '57', '45']
1442 ['42', '27', '57', '45']
1443 ['42', '27', '57', '45']
1444 ['42', '27', '57', '45']
1445 ['42', '27', '57', '45']
1446 ['42', '27', '57', '45']
1447 ['42', '27', '57', '45']
1448 ['42', '27', '57', '45']
1449 ['42', '27', '57', '45']
1460 ['1', '45', '55', '8']
1461 ['1', '45', '55', '8']
1462 ['1', '45', '55', '8']
1463 ['1', '45', '55', '8']
1464 ['1', '45', '55', '8']
1465 ['1', '45', '55', '8']
1466 ['1', '45', '55', '8']
1467 ['1', '45', '55', '8']
1468 ['1', '45', '55', '8']
1469 ['1', '45', '55', '8']
1480 ['1', '56', '37', '12']
1481 ['1', '56', '37', '12']
1482 ['1', '56', '37', '12']
1483 ['1', '56', '37', '12']
1484 ['1', '56', '37', '12']
1485 ['1', '56', '37', '12']
1486 ['1', '56', '37', '12']
1487 ['1', '56', '37', '12']
1488 ['1', '56', '37', '12']
1489 ['1', '56', '37', '12']
1500 ['31', '40', '26', '28']
1501 ['31', '40', '26', '28']
1502 ['31', '40', '26', '28']
1503 ['31', '40', '26', '28']
1504 ['31', '40', '26', '28']
1505 ['31', '40', '26', '28']
1506 ['31', '40', '26', '28']
1507 ['31', '40', '26', '28']
1508 ['31', '40', '26', '28']
1509 ['31', '40', '26', '28']
1520 ['5', '46', '28', '51']
1521 ['5', '46', '28', '51']
1522 ['5', '46', '28', '51']
1523 ['5', '46', '28', '51']
1524 ['5', '46', '28', '51']
1525 ['5', '46', '28', '51']
1526 ['5', '46', '28', '51']
1527 ['5', '46', '28', '51']
1528 ['5', '46', '28', '51']
1529 ['5', '46', '28', '51']
1540 ['17', '15', '33', '20']
1541 ['17', '15', '33', '20']
1542 ['17', '15', '33', '20']
1543 ['17', '15', '33', '20']
1544 ['17', '15', '33', '20']
1545 ['17', '15', '33', '20']
1546 ['17', '15', '33', '20']
1547 ['17', '15', '33', '20']
1548 ['17', '15', '33', '20']
1549 ['17', '15', '33', '20']
1560 ['5', '2', '43', '1']
1561 ['5', '2', '43', '1']
1562 ['5', '2', '43', '1']
1563 ['5', '2', '43', '1']
1564 ['5', '2', '43', '1']
1565 ['5', '2', '43', '1']
1566 ['5', '2', '43', '1']
1567 ['5', '2', '43', '1']
1568 ['5', '2', '43', '1']
1569 ['5', '2', '43', '1']
1580 ['53', '25', '49', '39']
1581 ['53', '25', '49', '39']
1582 ['53', '25', '49', '39']
1583 ['53', '25', '49', '39']
1584 ['53', '25', '49', '39']
1585 ['53', '25', '49', '39']
1586 ['53', '25', '49', '39']
1587 ['53', '25', '49', '39']
1588 ['53', '25', '49', '39']
1589 ['53', '25', '49', '39']
1600 ['61', '33', '48', '32']
1601 ['61', '33', '48', '32']
1602 ['61', '33', '48', '32']
1603 ['61', '33', '48', '32']
1604 ['61', '33', '48', '32']
1605 ['61', '33', '48', '32']
1606 ['61', '33', '48', '32']
1607 ['61', '33', '48', '32']
1608 ['61', '33', '48', '32']
1609 ['61', '33', '48', '32']
1620 ['38', '30', '1', '60']
1621 ['38', '30', '1', '60']
1622 ['38', '30', '1', '60']
1623 ['38', '30', '1', '60']
1624 ['38', '30', '1', '60']
1625 ['38', '30', '1', '60']
1626 ['38', '30', '1', '60']
1627 ['38', '30', '1', '60']
1628 ['38', '30', '1', '60']
1629 ['38', '30', '1', '60']
1640 ['35', '1', '3', '51']
1641 ['35', '1', '3', '51']
1642 ['35', '1', '3', '51']
1643 ['35', '1', '3', '51']
1644 ['35', '1', '3', '51']
1645 ['35', '1', '3', '51']
1646 ['35', '1', '3', '51']
1647 ['35', '1', '3', '51']
1648 ['35', '1', '3', '51']
1649 ['35', '1', '3', '51']
1660 ['22', '52', '33', '16']
1661 ['22', '52', '33', '16']
1662 ['22', '52', '33', '16']
1663 ['22', '52', '33', '16']
1664 ['22', '52', '33', '16']
1665 ['22', '52', '33', '16']
1666 ['22', '52', '33', '16']
1667 ['22', '52', '33', '16']
1668 ['22', '52', '33', '16']
1669 ['22', '52', '33', '16']
1680 ['29', '42', '21', '0']
1681 ['29', '42', '21', '0']
1682 ['29', '42', '21', '0']
1683 ['29', '42', '21', '0']
1684 ['29', '42', '21', '0']
1685 ['29', '42', '21', '0']
1686 ['29', '42', '21', '0']
1687 ['29', '42', '21', '0']
1688 ['29', '42', '21', '0']
1689 ['29', '42', '21', '0']
1700 ['26', '20', '19', '55']
1701 ['26', '20', '19', '55']
